iter	MultiClass
327	1.378347981
328	1.377910896
329	1.377571096
330	1.377239015
331	1.376777945
332	1.376506166
333	1.376022525
334	1.375752191
335	1.375330772
336	1.374979861
337	1.374592388
338	1.374088063
339	1.373535207
340	1.373234273
341	1.372932568
342	1.372557743
343	1.372294172
344	1.37188053
345	1.371595477
346	1.371134501
347	1.370805385
348	1.370412848
349	1.370182218
350	1.369672221
351	1.369326493
352	1.368968748
353	1.368625611
354	1.368269717
355	1.367851011
356	1.367590068
357	1.367250352
358	1.366862024
359	1.366492017
360	1.366164738
361	1.365739709
362	1.36528206
363	1.364961355
364	1.364574111
365	1.364138099
366	1.363629519
367	1.363280746
368	1.362802611
369	1.362466175
370	1.361908755
371	1.361638756
372	1.36126652
373	1.361059775
374	1.360729974
375	1.360482564
376	1.360188526
377	1.359771714
378	1.359299909
379	1.358987421
380	1.358770788
381	1.358625583
382	1.358438551
383	1.358039833
384	1.35763365
385	1.357354798
386	1.357073507
387	1.356767784
388	1.356489368
389	1.356177611
390	1.355877677
391	1.355530989
392	1.3552334
393	1.35503227
394	1.354783658
395	1.354300291
396	1.35402353
397	1.353666251
398	1.353285377
399	1.353066651
400	1.352631294
401	1.352357113
402	1.352148062
403	1.351777175
404	1.351454388
405	1.351202609
406	1.350821706
407	1.350543405
408	1.350276676
409	1.349933934
410	1.349619581
411	1.349350619
412	1.349099281
413	1.348765244
414	1.34855122
415	1.348288534
416	1.34793175
417	1.347634879
418	1.34731575
419	1.346921467
420	1.346625498
421	1.346230179
422	1.345861094
423	1.345508612
424	1.345266747
425	1.345019897
426	1.344716005
427	1.344367112
428	1.343956738
429	1.343767448
430	1.343473041
431	1.343183603
432	1.342871336
433	1.342556596
434	1.342226544
435	1.341962144
436	1.341601984
437	1.341324411
438	1.341108025
439	1.34082453
440	1.340422613
441	1.340082714
442	1.33990479
443	1.339698715
444	1.339410718
445	1.339083295
446	1.338717644
447	1.338365039
448	1.338149514
449	1.337815531
450	1.337575794
451	1.337318695
452	1.336966543
453	1.336652788
454	1.336362785
455	1.336038512
456	1.3358201
457	1.335503817
458	1.33535551
459	1.335103082
460	1.33488175
461	1.334632582
462	1.334387895
463	1.33413153
464	1.333878416
465	1.333647188
466	1.333452687
467	1.333099663
468	1.332848269
469	1.332669299
470	1.332357784
471	1.332027482
472	1.331796039
473	1.331468978
474	1.331179573
475	1.330921288
476	1.330674092
477	1.330356405
478	1.330093682
479	1.329759235
480	1.329561223
481	1.329322705
482	1.329066964
483	1.328867762
484	1.32863601
485	1.328401462
486	1.3282034
487	1.327879808
488	1.327610313
489	1.327462555
490	1.327180827
491	1.32690633
492	1.326693354
493	1.326483329
494	1.326283149
495	1.325947308
496	1.325785633
497	1.325586922
498	1.325353534
499	1.325122115
